[2025-03-26 19:25:27] epoch 0 | loss:1.1634 | acc:0.6273 | time:17.53s
[2025-03-26 19:26:56] epoch 5 | loss:1.1043 | acc:0.8298 | time:88.05s
[2025-03-26 19:28:26] epoch 10 | loss:0.3281 | acc:0.8493 | time:88.72s
[2025-03-26 19:29:57] epoch 15 | loss:0.7360 | acc:0.8848 | time:89.76s
[2025-03-26 19:31:29] epoch 20 | loss:0.1804 | acc:0.8921 | time:91.02s
[2025-03-26 19:33:02] epoch 25 | loss:0.8676 | acc:0.8649 | time:91.74s
[2025-03-26 19:34:36] epoch 30 | loss:0.4215 | acc:0.8977 | time:92.00s
[2025-03-26 19:36:09] epoch 35 | loss:0.2635 | acc:0.9245 | time:92.26s
[2025-03-26 19:37:43] epoch 40 | loss:1.8635 | acc:0.8067 | time:92.27s
[2025-03-26 19:39:16] epoch 45 | loss:1.6113 | acc:0.8921 | time:92.22s
[2025-03-26 19:40:50] epoch 50 | loss:0.2319 | acc:0.9150 | time:92.47s
[2025-03-26 19:42:24] epoch 55 | loss:0.0064 | acc:0.9471 | time:92.19s
[2025-03-26 19:43:57] epoch 60 | loss:0.4990 | acc:0.9319 | time:92.11s
[2025-03-26 19:45:30] epoch 65 | loss:0.1091 | acc:0.9480 | time:91.82s
[2025-03-26 19:47:03] epoch 70 | loss:4.5457 | acc:0.9435 | time:92.13s
[2025-03-26 19:48:37] epoch 75 | loss:0.3144 | acc:0.9523 | time:92.33s
[2025-03-26 19:50:11] epoch 80 | loss:0.0034 | acc:0.9566 | time:92.50s
[2025-03-26 19:51:52] epoch 85 | loss:6.0995 | acc:0.9056 | time:100.19s
[2025-03-26 19:53:25] epoch 90 | loss:0.1643 | acc:0.9516 | time:91.09s
[2025-03-26 19:54:57] epoch 95 | loss:5.1202 | acc:0.9484 | time:90.94s
Finished Training! BATCH_SIZE=64, EPOCH=99, VAL_NUM=5
